series_name,year,period,value,footnotes,date
Unemployment Rate,2024,M11,4.2,,2024-11-01
Unemployment Rate,2024,M10,4.1,,2024-10-01
Unemployment Rate,2024,M09,4.1,,2024-09-01
Unemployment Rate,2024,M08,4.2,,2024-08-01
Unemployment Rate,2024,M07,4.3,,2024-07-01
Unemployment Rate,2024,M06,4.1,,2024-06-01
Unemployment Rate,2024,M05,4.0,,2024-05-01
Unemployment Rate,2024,M04,3.9,,2024-04-01
Unemployment Rate,2024,M03,3.8,,2024-03-01
Unemployment Rate,2024,M02,3.9,,2024-02-01
Unemployment Rate,2024,M01,3.7,,2024-01-01
Total Non-Farm Employees,2024,M11,159288.0,preliminary,2024-11-01
Total Non-Farm Employees,2024,M10,159061.0,preliminary,2024-10-01
Total Non-Farm Employees,2024,M09,159025.0,,2024-09-01
Total Non-Farm Employees,2024,M08,158770.0,,2024-08-01
Total Non-Farm Employees,2024,M07,158692.0,,2024-07-01
Total Non-Farm Employees,2024,M06,158548.0,,2024-06-01
Total Non-Farm Employees,2024,M05,158430.0,,2024-05-01
Total Non-Farm Employees,2024,M04,158214.0,,2024-04-01
Total Non-Farm Employees,2024,M03,158106.0,,2024-03-01
Total Non-Farm Employees,2024,M02,157796.0,,2024-02-01
Total Non-Farm Employees,2024,M01,157560.0,,2024-01-01
Average Weekly Hours,2024,M11,34.3,preliminary,2024-11-01
Average Weekly Hours,2024,M10,34.2,preliminary,2024-10-01
Average Weekly Hours,2024,M09,34.3,,2024-09-01
Average Weekly Hours,2024,M08,34.3,,2024-08-01
Average Weekly Hours,2024,M07,34.2,,2024-07-01
Average Weekly Hours,2024,M06,34.3,,2024-06-01
Average Weekly Hours,2024,M05,34.3,,2024-05-01
Average Weekly Hours,2024,M04,34.3,,2024-04-01
Average Weekly Hours,2024,M03,34.4,,2024-03-01
Average Weekly Hours,2024,M02,34.3,,2024-02-01
Average Weekly Hours,2024,M01,34.2,,2024-01-01
Average Hourly Earnings,2024,M11,35.61,preliminary,2024-11-01
Average Hourly Earnings,2024,M10,35.48,preliminary,2024-10-01
Average Hourly Earnings,2024,M09,35.33,,2024-09-01
Average Hourly Earnings,2024,M08,35.22,,2024-08-01
Average Hourly Earnings,2024,M07,35.07,,2024-07-01
Average Hourly Earnings,2024,M06,34.99,,2024-06-01
Average Hourly Earnings,2024,M05,34.88,,2024-05-01
Average Hourly Earnings,2024,M04,34.75,,2024-04-01
Average Hourly Earnings,2024,M03,34.69,,2024-03-01
Average Hourly Earnings,2024,M02,34.56,,2024-02-01
Average Hourly Earnings,2024,M01,34.51,,2024-01-01
Import Prices,2024,M11,141.2,,2024-11-01
Import Prices,2024,M10,141.0,Revised.,2024-10-01
Import Prices,2024,M09,140.9,Revised.,2024-09-01
Import Prices,2024,M08,141.4,,2024-08-01
Import Prices,2024,M07,141.8,,2024-07-01
Import Prices,2024,M06,141.6,,2024-06-01
Import Prices,2024,M05,141.5,,2024-05-01
Import Prices,2024,M04,141.7,,2024-04-01
Import Prices,2024,M03,140.5,,2024-03-01
Import Prices,2024,M02,139.7,,2024-02-01
Import Prices,2024,M01,139.4,,2024-01-01
Export Prices,2024,M11,148.7,,2024-11-01
Export Prices,2024,M10,148.7,Revised.,2024-10-01
Export Prices,2024,M09,147.3,Revised.,2024-09-01
Export Prices,2024,M08,148.2,Revised.,2024-08-01
Export Prices,2024,M07,149.2,,2024-07-01
Export Prices,2024,M06,148.4,,2024-06-01
Export Prices,2024,M05,148.8,,2024-05-01
Export Prices,2024,M04,149.8,,2024-04-01
Export Prices,2024,M03,148.8,,2024-03-01
Export Prices,2024,M02,148.6,,2024-02-01
Export Prices,2024,M01,147.5,,2024-01-01
